Respondent_ID,Q1_Age_Group,Q2_Marital_Dependent_Status,Q3_City_Tier,Q4_Financial_Dependents,Q5_Employment_Status,Q6_Monthly_Income,Q7_Income_Stability,Q8_Monthly_Expenditure,Q9_Top_Spending_Categories,Q10_Impulse_Purchase_Frequency,Q11_Spending_Triggers,Q12_Active_Subscriptions,Q13_Statement_Review_Frequency,Q14_Financial_Goals,Q15_Savings_Percentage,Q16_Financial_Challenges,Q17_Financial_Confidence,Q18_Financial_Stress_Level,Q19_Budget_Behavior,Q20_Finance_App_Usage,Q21_Financial_Literacy,Q22_Digital_Comfort_Level,Q23_Preferred_Features,Q24_Willingness_To_Pay,Q25_BudgetLife_Interest,Persona_Tag
R0001,25–34,"Married, with children",Tier 3,2,Salaried (Private),"₹1,00,001–₹2,00,000",Very stable (fixed salary),"₹50,001–₹1,00,000",EMIs & Loan Repayments|Education|Groceries & Food,Never,I rarely spend impulsively,1–2,Weekly,Children's Education|Save for Vacation,0% (No savings),High Cost of Living|High EMIs or Debt,4 – Very confident,2 – Rarely,"No, but I want to","No, never used one",3 – Average,Very uncomfortable,Predictive Budget Alerts & Spending Forecasts|Subscription & Money Leak Detection,₹0 (Free only),Maybe,Middle-Income Family Provider
R0002,35–44,"Single, no dependents",Metro (Tier 1),4+,Freelancer or Gig Worker,"₹50,001–₹1,00,000",Mostly stable with some variation,"₹50,001–₹1,00,000","Groceries & Food|Subscriptions (OTT, Gym, etc.)",Sometimes (3–5 times/month),"Flash sales, discounts & offers|Social pressure or peer influence",6+,Quarterly,Invest & Grow Wealth,0% (No savings),No Budgeting Discipline|Unexpected Expenses,3 – Moderately confident,4 – Often,"Yes, loosely","Yes, currently using one",5 – Very High,Somewhat comfortable,AI Savings Recommendations & Goal Engine|Subscription & Money Leak Detection,₹200–₹499,Probably Yes,Aspiring Digital-First Millennial
R0003,45–54,"Married, no children",Tier 3,1,Retired,"Above ₹2,00,000",Mostly stable with some variation,"₹25,001–₹50,000","Shopping & Fashion|Subscriptions (OTT, Gym, etc.)",Often (6+ times/month),"Convenience (food delivery, cabs, etc.)|Social media influence",3–5,Monthly,"Save for Major Purchase (Home, Car)",0% (No savings),No Budgeting Discipline|Overspending,4 – Very confident,3 – Sometimes,"No, and I don't plan to","No, never used one",2 – Low,Somewhat uncomfortable,Automatic Expense Tracking & Smart Categorization|Predictive Budget Alerts & Spending Forecasts,₹0 (Free only),Definitely No,High-Income Low-Awareness Spender
R0004,45–54,"Married, with children",Tier 2,3,Salaried (Government),"₹50,001–₹1,00,000",Highly unpredictable,"₹25,001–₹50,000",Education|Transportation,Sometimes (3–5 times/month),Celebrations or festivals|I rarely spend impulsively,3–5,Rarely,Invest & Grow Wealth|Retirement Planning,11–20%,Overspending|Unexpected Expenses,5 – Extremely confident,3 – Sometimes,"No, but I want to",Used before but stopped,3 – Average,Somewhat uncomfortable,Automatic Expense Tracking & Smart Categorization,₹100–₹199,Probably No,Small Town Conservative Saver
R0005,25–34,"Single, no dependents",Metro (Tier 1),0,Salaried (Private),"₹1,00,001–₹2,00,000",Highly unpredictable,"₹50,001–₹1,00,000","Groceries & Food|Rent & Housing|Subscriptions (OTT, Gym, etc.)",Sometimes (3–5 times/month),"Convenience (food delivery, cabs, etc.)|Social pressure or peer influence",1–2,Rarely,"Save for Major Purchase (Home, Car)",11–20%,No Budgeting Discipline|Overspending,2 – Slightly confident,2 – Rarely,"No, and I don't plan to","No, never used one",5 – Very High,Somewhat uncomfortable,AI Savings Recommendations & Goal Engine|Automatic Expense Tracking & Smart Categorization|Financial Health Score with Peer Benchmarking,₹100–₹199,Probably Yes,Young Urban Professional
R0006,25–34,"Married, with children",Metro (Tier 1),1,Salaried (Private),"Above ₹2,00,000",Very stable (fixed salary),"₹10,001–₹25,000",EMIs & Loan Repayments|Rent & Housing,Sometimes (3–5 times/month),"Emotional stress or boredom|Flash sales, discounts & offers",1–2,Monthly,"Build Emergency Fund|Save for Major Purchase (Home, Car)|Save for Vacation",11–20%,No Budgeting Discipline|High EMIs or Debt,5 – Extremely confident,3 – Sometimes,"No, but I want to","No, never used one",2 – Low,Somewhat comfortable,Financial Health Score with Peer Benchmarking,₹49–₹99,Probably Yes,Young Urban Professional
R0007,25–34,"Married, with children",Metro (Tier 1),1,Salaried (Private),"₹50,001–₹1,00,000",Mostly stable with some variation,"₹10,001–₹25,000","Entertainment & Dining Out|Rent & Housing|Subscriptions (OTT, Gym, etc.)",Rarely (1–2 times/month),"Convenience (food delivery, cabs, etc.)|Social media influence",3–5,Monthly,Build Emergency Fund|Children's Education|Save for Vacation,21–30%,Overspending,4 – Very confident,4 – Often,"No, but I want to",Used before but stopped,4 – High,Somewhat comfortable,AI Savings Recommendations & Goal Engine|Automatic Expense Tracking & Smart Categorization|Subscription & Money Leak Detection,₹49–₹99,Maybe,Young Urban Professional
R0008,55+,"Single, with dependents",Metro (Tier 1),3,Retired,"₹20,001–₹50,000",Highly unpredictable,"Below ₹10,000",Groceries & Food|Other|Rent & Housing,Rarely (1–2 times/month),I rarely spend impulsively,None,Rarely,Retirement Planning,11–20%,High EMIs or Debt|Unexpected Expenses,4 – Very confident,5 – Almost always,"Yes, loosely","No, never used one",3 – Average,Somewhat uncomfortable,AI Savings Recommendations & Goal Engine,₹0 (Free only),Probably No,Retired / Senior Citizen
R0009,55+,Joint family (supporting elders),Tier 2,4+,Retired,"Below ₹20,000",Mostly stable with some variation,"₹25,001–₹50,000",Groceries & Food,Rarely (1–2 times/month),"Flash sales, discounts & offers",3–5,Quarterly,Retirement Planning|Save for Vacation,11–20%,Lack of Financial Knowledge|Unexpected Expenses,3 – Moderately confident,2 – Rarely,"No, and I don't plan to","No, never used one",3 – Average,Somewhat uncomfortable,Financial Health Score with Peer Benchmarking,₹49–₹99,Definitely No,Small Town Conservative Saver
R0010,25–34,"Married, with children",Tier 2,2,Self-employed,"Above ₹2,00,000",Mostly stable with some variation,"₹25,001–₹50,000","Rent & Housing|Shopping & Fashion|Subscriptions (OTT, Gym, etc.)",Sometimes (3–5 times/month),Social pressure or peer influence,1–2,Quarterly,Build Emergency Fund|Invest & Grow Wealth|Retirement Planning,1–10%,High Cost of Living|Overspending,2 – Slightly confident,2 – Rarely,"Yes, loosely","No, never used one",5 – Very High,Very comfortable,AI Savings Recommendations & Goal Engine|Financial Health Score with Peer Benchmarking|Subscription & Money Leak Detection,₹500+,Maybe,High-Income Low-Awareness Spender
